filename,target_value,feature_1,feature_2,feature_3
test_01.csv,15.4,1.24,0.55,3.1
test_01_scale_0.25.csv,12.1,0.88,0.71,2.95
test_01_scale_0.5.csv,18.2,1.52,0.4,3.55
test_02.csv,13.5,0.95,0.66,3.02
test_02_scale_0.25.csv,14.8,1.1,0.58,3.2
test_02_scale_0.5.csv,16.5,1.3,0.45,3.4
test_03.csv,12.8,0.92,0.68,2.98
test_03_scale_0.25.csv,17.6,1.45,0.42,3.5
test_03_scale_0.5.csv,14.2,1.05,0.6,3.15
test_04.csv,15,1.18,0.52,3.25
test_04_scale_0.25.csv,11.5,0.85,0.75,2.85
test_04_scale_0.5.csv,19.1,1.6,0.35,3.65
test_03.csv,15,1.1,0.5,3.1
test_03_scale_0.25.csv,13,1.5,0.7,3.3
test_03_scale_0.5.csv,15,0.9,0.5,2.8
